user_id,event_type,event_time
user_1,signup,2025-06-21 00:00:00
user_1,browse,2025-06-21 08:00:00
user_1,add_to_cart,2025-06-22 08:00:00
user_1,purchase,2025-06-23 08:00:00
user_2,signup,2025-06-29 00:00:00
user_2,browse,2025-06-29 02:00:00
user_2,add_to_cart,2025-06-29 09:00:00
user_2,purchase,2025-06-30 05:00:00
user_3,signup,2025-06-01 00:00:00
user_3,browse,2025-06-01 23:00:00
user_3,add_to_cart,2025-06-02 07:00:00
user_4,signup,2025-06-09 00:00:00
user_4,browse,2025-06-09 06:00:00
user_5,signup,2025-06-11 00:00:00
user_5,browse,2025-06-11 11:00:00
user_5,add_to_cart,2025-06-12 00:00:00
user_5,purchase,2025-06-12 12:00:00
user_6,signup,2025-06-20 00:00:00
user_6,browse,2025-06-20 15:00:00
user_6,add_to_cart,2025-06-21 04:00:00
user_6,purchase,2025-06-21 14:00:00
user_7,signup,2025-06-27 00:00:00
user_8,signup,2025-06-12 00:00:00
user_8,browse,2025-06-12 02:00:00
user_9,signup,2025-06-25 00:00:00
user_9,browse,2025-06-25 08:00:00
user_10,signup,2025-06-13 00:00:00
user_10,browse,2025-06-13 12:00:00
user_10,add_to_cart,2025-06-14 00:00:00
user_10,purchase,2025-06-14 09:00:00
user_11,signup,2025-06-23 00:00:00
user_11,browse,2025-06-23 20:00:00
user_12,signup,2025-06-18 00:00:00
user_12,browse,2025-06-18 13:00:00
user_12,add_to_cart,2025-06-19 10:00:00
user_13,signup,2025-06-08 00:00:00
user_14,signup,2025-06-25 00:00:00
user_15,signup,2025-06-26 00:00:00
user_15,browse,2025-06-26 07:00:00
user_16,signup,2025-06-19 00:00:00
user_16,browse,2025-06-19 21:00:00
user_16,add_to_cart,2025-06-20 18:00:00
user_17,signup,2025-06-09 00:00:00
user_17,browse,2025-06-09 18:00:00
user_17,add_to_cart,2025-06-10 13:00:00
user_18,signup,2025-06-19 00:00:00
user_18,browse,2025-06-19 05:00:00
user_18,add_to_cart,2025-06-19 08:00:00
user_19,signup,2025-06-28 00:00:00
user_19,browse,2025-06-28 22:00:00
user_19,add_to_cart,2025-06-29 01:00:00
user_20,signup,2025-06-20 00:00:00
user_20,browse,2025-06-20 18:00:00
user_21,signup,2025-06-01 00:00:00
user_21,browse,2025-06-01 18:00:00
user_22,signup,2025-06-25 00:00:00
user_22,browse,2025-06-25 14:00:00
user_22,add_to_cart,2025-06-25 15:00:00
user_23,signup,2025-06-29 00:00:00
user_24,signup,2025-06-25 00:00:00
user_25,signup,2025-06-28 00:00:00
user_26,signup,2025-06-17 00:00:00
user_26,browse,2025-06-17 06:00:00
user_26,add_to_cart,2025-06-17 23:00:00
user_27,signup,2025-06-20 00:00:00
user_27,browse,2025-06-20 12:00:00
user_28,signup,2025-06-27 00:00:00
user_28,browse,2025-06-27 08:00:00
user_29,signup,2025-07-01 00:00:00
user_29,browse,2025-07-01 03:00:00
user_30,signup,2025-06-18 00:00:00
user_30,browse,2025-06-18 16:00:00
user_31,signup,2025-06-06 00:00:00
user_32,signup,2025-06-14 00:00:00
user_33,signup,2025-06-25 00:00:00
user_33,browse,2025-06-25 10:00:00
user_33,add_to_cart,2025-06-26 08:00:00
user_34,signup,2025-06-15 00:00:00
user_34,browse,2025-06-15 08:00:00
user_34,add_to_cart,2025-06-15 19:00:00
user_34,purchase,2025-06-16 13:00:00
user_35,signup,2025-06-08 00:00:00
